346738545	38.8916400	121.5194100
346738562	38.8772371	121.5085104
346738591	38.8775200	121.5227600
346738605	38.8791100	121.5207000
346738645	38.8761451	121.5151867
346738661	38.8774800	121.5235500
346738678	38.8775500	121.5277800
346738693	38.8765515	121.5126713
346738709	38.8768646	121.5107603
346738724	38.8871085	121.5188995
346738739	38.8968269	121.5204788
346738769	38.8986994	121.5211070
346738920	38.8738242	121.5265655
346738938	38.8671600	121.5310800
346738972	38.8773951	121.5216676
346738988	38.8775500	121.5319200
346739002	38.8775123	121.5325115
346739049	38.9004545	121.5232946
346739062	38.9055547	121.5248696
346739094	38.8772799	121.5075381
346739110	38.8769406	121.5047129
346739120	38.8767427	121.5020708
346739149	38.9053059	121.5248240
346739191	38.8760615	121.5156792
346739220	38.8764602	121.5198192
346739229	38.8765800	121.5204200
346739244	38.8771386	121.5211308
346739257	38.8685239	121.5321836
346739270	38.8707678	121.5311227
346739279	38.8725784	121.5292629
346739287	38.8698600	121.5314500
346739299	38.8703439	121.5313314
346739315	38.8686573	121.5317396
346739330	38.8688549	121.5316651
346739372	38.8726800	121.5358900
346739385	38.8731094	121.5365713
346739399	38.8616837	121.5266248
346739443	38.8788373	121.4968525
346739449	38.8790754	121.4958196
346739475	38.8753931	121.5235071
346739486	38.8728825	121.5285347
346739496	38.8785887	121.4952491
346739508	38.9152664	121.5355571
346739520	38.9168725	121.5384925
346739532	38.9134695	121.5346468
346739560	38.9094924	121.5283473
346739573	38.8752700	121.5002300
346739586	38.8743900	121.4983400
346739598	38.8762300	121.5021400
346739620	38.8760200	121.5015600
346739665	38.9110114	121.5308273
346739679	38.8740454	121.5406842
346739693	38.8775500	121.5214500
346739705	38.8802300	121.5196700
346739728	38.9070946	121.5262573
346739744	38.9045400	121.5252700
346739757	38.9087615	121.5275368
346739766	38.9081770	121.5270867
346739782	38.9128083	121.5341168
346739805	38.9123842	121.5335841
346739824	38.9156124	121.5358709
346739839	38.9143598	121.5352647
346739852	38.9163984	121.5376111
346739866	38.9159063	121.5365238
346739880	38.9173526	121.5393482
346739894	38.8813000	121.5193500
346739910	38.8819285	121.5193621
346739926	38.8829911	121.5196025
346739940	38.8840982	121.5196405
346739968	38.8880706	121.5188001
346739982	38.8907000	121.5194300
346739993	38.8923300	121.5195600
346740007	38.8946300	121.5203800
346740015	38.8978076	121.5206387
346740026	38.8996112	121.5217083
346740042	38.8999122	121.5221525
346740067	38.9006775	121.5236502
346740082	38.9008849	121.5238766
346740097	38.9036953	121.5252708
346740111	38.9041487	121.5253449
346740127	38.8702805	121.5337239
346740141	38.8743060	121.5414703
348327880	38.8730817	121.5287713
348327949	38.8736642	121.5284908
348327953	38.8775662	121.5282324
348327958	38.8778455	121.5283626
348327962	38.8781580	121.5286206
348327967	38.8784950	121.5292685
348327972	38.8788250	121.5295053
348327976	38.8798209	121.5306043
348327981	38.8801807	121.5309625
348328028	38.8809904	121.5338804
348328046	38.8815274	121.5354367
348328051	38.8821699	121.5367926
348328055	38.8825124	121.5378409
348328065	38.8831483	121.5396931
348334775	38.8855665	121.5192286
348334777	38.8864801	121.5258324
